Name,Website,Domain,About,Year Founded,Location
Berggruen Institute,http://www.berggruen.org/,,"Since its founding, the Berggruen Institute has forged new conceptual frameworks to meet the challenges and harness the opportunities of the arriving future. As an independent think and action tank, we have the autonomy to step outside the usual lanes, reaching beyond academic disciplines to bridge social divides, partisan dispositions, and cultural boundaries.",2010,"Los Angeles, California"
Design It For Us,https://designitforus.org/,,"Design It For Us is a youth-led coalition of young people, activists, and leaders that aims to achieve policy reforms to protect kids, teens, and young adults online. The coalition is led by two Co-Chairs and a team of Organizing Directors between the ages of 18 and 26. The coalition is also supported by an array of youth-led organizations and advisors.",2023,"New York, New York"
Common Goal,https://www.common-goal.org/,,"Common Goal is a global impact movement that uses football to leverage the power of the collective towards achieving the Global Goals. The movement uses 1% as a symbol to enable, inspire and mobilise every stakeholder from the global football community to play a meaningful role in support of our people and planet. It provides a simple and impactful mechanic to pledge collectively to high-impact initiatives that accelerate progress towards achieving the UN SDGs. In doing so, Common Goal aims to e",2017,"Berlin, Germany"
Consumer Reports,https://www.consumerreports.org/cro/index.htm,,"Consumer Reports is an independent, nonprofit member organization that works side by side with consumers for truth, transparency, and fairness in the marketplace.",1936,"New York, New York"
Center for Countering Digital Hate,https://counterhate.com/,,"The Center for Countering Digital Hate works to stop the spread of online hate and disinformation through innovative research, public campaigns and policy advocacy.",2019,"Washington, D.C."
Center for Youth and AI,https://youth-ai.org/,,"We founded the Center for Youth and AI because we’re afraid to sleepwalk into another tech-related disaster. The risk is simple: society is unprepared for AI systems that’ll transform our education, careers and lives. We want to change that. We aim to become the leading research organization to discover and amplify youth voices on AI, and to educate and prepare young people for the opportunities and challenges ahead.",2024,"New York, New York"
Encode,https://encodeai.org/,,"Founded in July 2020, we are an international youth movement collectively working to reimagine the future of AI through policy, advocacy, and public awareness efforts. Encode Justice is powered by nearly 1,000 high school and college students from every inhabited continent. We acknowledge that without swift action, AI will continue to pose profound and large-scale risks to our society, economy, and democracy, including algorithmic bias, labor displacement, disinformation, institutional destabili",,Virtual
Citizen University,https://citizenuniversity.us/,,"Citizen University is building a culture of powerful, responsible citizenship across the country. They spread the belief that a strong democracy depends on strong citizens — that we all have the power to make change in civic life and the responsibility to try. They design gatherings, rituals, and workshops that focus on civic power and civic character as the building blocks of powerful citizenship. They then train and activate civic catalysts nationwide to bring the beliefs and practices of powe",2016,"Seattle, Washington"
"Center for Economic Research on Governance, Inequality and Conflict",https://www.cergic-lyon.fr/,,"We are a research unit in economics with strong in interests in the implications of the digital revolution on governance, citizenship, and societal interactions (political processes, social networks, and individual rights...)",2023,"Lyon, France"
Eticas AI,https://eticas.ai/,,"Eticas.ai is an organization with a mission to protect people and the environment in technology processes, while also ensuring that all people have the right to benefit from technological advances without fear of discrimination or unfair treatment.  We work to translate the principles that guide our societies (fairness, transparency, or non-discrimination) into technical specifications, and to strike a balance between evolving social values, technical possibilities and legal frameworks.",2012,"New York, New York"
DPLA,https://dp.la/,,"The Digital Public Library of America empowers people to learn, grow, and contribute to a diverse and better-functioning society by maximizing access to our shared history, culture, and knowledge. The Digital Public Library of America amplifies the value of libraries and cultural organizations as Americans’ most trusted sources of shared knowledge. We do this by collaborating with partners to accelerate innovative tools and ideas that empower and equip libraries to make information more accessi",2013,"Boston, Massachusetts"
