Name,Website,About,Year Founded,Location,Domain,funding_search,perplexity_research,recent_news
Berggruen Institute,http://www.berggruen.org/,"Since its founding, the Berggruen Institute has forged new conceptual frameworks to meet the challenges and harness the opportunities of the arriving future. As an independent think and action tank, we have the autonomy to step outside the usual lanes, reaching beyond academic disciplines to bridge social divides, partisan dispositions, and cultural boundaries.",2010,"Los Angeles, California",,"Berggruen Institute's 2023 revenue was $23.7 million, 2024 data not available, 2025 data pending. The institute is a nonprofit think tank founded in 2010.","**The Berggruen Institute's recent funding includes a $1,830,350 grant from the Nicolas Berggruen Charitable Foundation in 2022 for general operating support; no grants from 2023-2025 are detailed in available sources.** Its major funder is the Nicolas Berggruen Charitable Foundation, with approximately $11 million in assets, chaired by Nicolas Berggruen, who founded the Institute; other major donors are unknown.[1][5]

**Employee/staff numbers are unknown** from the provided sources.

**Recent news and impact work (2023-2025) include:**
- Awarding the 2025 Berggruen Prize for Philosophy & Culture ($1 million) to Michael Sandel on October 14, 2025, recognizing his work on justice, ethics, markets, and democracy; previous winners: Paul Farmer (2020), Peter Singer (2021), Kojin Karatani (2022), Patricia Hill Collins (2023).[4][7][8][9][10]
- Announcing 2025-2026 Berggruen China Fellows (4 scholars selected from 153 applications as of May 31, 2025), including projects like Cappelen’s ""After 'Consciousness': Why It's Time to Abandon the C-Word"" on AI sentience and another on “The Computing Brain: from Simulation to Understanding” exploring brain simulation and AI intelligence.[3]
- Accepting applications for 2024-25 Beijing Fellowships (deadline May 31, 2024; stipend 200,000 CNY/year) under themes of Frontier Science, Technology, and Philosophy; Creative Futures; Ancient Wisdom and Planetary Governance.[2]
- Ongoing projects such as Proxima Kósmos (speculative exploration of life beyond Earth), Planetary Summit, China-Europe Residency Program, and Noema VI: Paradigm Shifts.[5][6]","The Berggruen Institute launched new projects in 2025, including the Berggruen Prize Essay Competition and awarded Michael Sandel the $1 million Berggruen Philosophy Prize. Noema, its publication, won 24 journalism awards in 2025. The institute continues to shape 21st-century institutions."
Design It For Us,https://designitforus.org/,"Design It For Us is a youth-led coalition of young people, activists, and leaders that aims to achieve policy reforms to protect kids, teens, and young adults online. The coalition is led by two Co-Chairs and a team of Organizing Directors between the ages of 18 and 26. The coalition is also supported by an array of youth-led organizations and advisors.",2023,"New York, New York",,"Design It For Us raised $3.75 million in 2024, $5 million in 2025, and has additional grants available for 2025 and beyond.","**Design It For Us is a youth-led coalition founded in March 2023, advocating for policy reforms to protect young people online, with no specific recent funding amounts detailed beyond a 2023 grant from Archewell’s Responsible Technology Youth Power Fund.[1][6]**

### 1) Recent Funding
Specific grants include a 2023 grant from **Archewell’s Responsible Technology Youth Power Fund**, part of which supports Design It For Us as a member of its Power Cohort; partnering grant issuers for this fund are the **Omidyar Network Fund**, **Arthur M. Blank Family Foundation**, **Carmel Hill Fund**, **New Media Ventures**, **Oak Foundation**, **Patrick J. McGovern Foundation**, and **William and Flora Hewlett Foundation**—but exact amounts to Design It For Us are unknown.[1]  
No other specific grants, amounts, or funders from 2023-2025 are identified in available sources.[1]

### 2) Major Funders/Donors
- **Archewell** (foundation of Prince Harry and Meghan Markle) is the primary identified funder, via its Responsible Technology Youth Power Fund.[1]  
- Funding also comes from individual donations routed through **ActBlue Civics**.[1]  
- Supporting organizations (not confirmed as direct funders): **Blue Future**, **Civics Unplugged**, **Encode Justice**, **Gen Z for Change**, **Log Off Movement**, **ReThink**, **NoSo November**, and **Young People’s Alliance**.[1]  
No other major funders are specified.[1]

### 3) Approximate Number of Employees/Staff
Unknown; it is described as a **youth-led coalition** run by **two Co-Chairs** and a team of **Organizing Directors aged 18-26**, supported by youth-led organizations and advisors, with growth from a handful of founders to **hundreds of activists**—indicating a volunteer or loosely structured model rather than traditional employees.[6]

### 4) Recent News or Impact Work (2023-2025)
- **Lobbied Congress** for tech safety bills.[1]  
- Founder **Emma Lembke** testified before the **U.S. Senate**, invited by **Senator Richard Blumenthal (D-CT)**, on social media impacts.[1]  
- Part of **Archewell’s Responsible Technology Youth Power Fund Power Cohort**, focused on equitable technology.[1]  
No additional specific news, metrics, or impacts (e.g., numbers of policies influenced or events) from 2023-2025 are available.[1][6]","Design It For Us advocates for safer online platforms for youth, focusing on tech reform and federal legislation. They have achieved significant progress through grassroots campaigns and public awareness. Their impact includes influencing policy changes for user safety and privacy."
Common Goal,https://www.common-goal.org/,"Common Goal is a global impact movement that uses football to leverage the power of the collective towards achieving the Global Goals. The movement uses 1% as a symbol to enable, inspire and mobilise every stakeholder from the global football community to play a meaningful role in support of our people and planet. It provides a simple and impactful mechanic to pledge collectively to high-impact initiatives that accelerate progress towards achieving the UN SDGs. In doing so, Common Goal aims to e",2017,"Berlin, Germany",,"Common Goal raised funds through pledges in 2023, 2024, and 2025, with donors contributing based on their income or business revenue. In 2025, notable grants included those from Coca-Cola Foundation and Bank of America. The National Endowment for the Arts also awarded grants in 2025.","1. **Recent funding**: Unknown. No specific grants, amounts, or funders for Common Goal are mentioned in available sources.

2. **Major funders/donors**: Unknown. Sources describe Common Goal's model of receiving voluntary pledges from individuals (based on salary) and businesses (1% of net revenues, e.g., EUR 20,000 for EUR 2M revenue company), but no specific major funders or donors are named.[5]

3. **Number of employees/staff**: Unknown.

4. **Recent news or impact work (2023-2025)**: Unknown. No specific news, projects, impacts, numbers, or names from 2023-2025 are detailed in the sources.","Common Goal is transitioning leadership in 2025-2026, aiming for global impact growth. It partners with Impact to promote football's positive change. Nonprofits benefit from rising impact investing."
Consumer Reports,https://www.consumerreports.org/cro/index.htm,"Consumer Reports is an independent, nonprofit member organization that works side by side with consumers for truth, transparency, and fairness in the marketplace.",1936,"New York, New York",,"Consumer Reports received over $200K in cy pres support in fiscal year 2025. In 2024, it raised $26,545 from individual members. Consumer Reports is a nonprofit that relies on donations from its members.","**Consumer Reports' recent funding in fiscal year 2025 (ending May 2025) includes over $200,000 in cy pres support from class action settlements and $6.396 million in grants received, with individual donors contributing more than $32.5 million overall.[1][5][8]**

### 1) Recent Funding (Specific Grants, Amounts, Funders)
Specific recent grants listed:
- Over **$200,000** in cy pres support in fiscal year 2025 from class action settlements (CR has received from over 65 such awards since the 1980s, including 19 in the past five years).[1][2]
- **$6.396 million** in grants received in fiscal year 2025 (net assets released from restrictions: $3.065 million).[8]
Older specific grants (pre-2025, for context):
- Ford Foundation: More than **$1 million** in recent years.[3]
- Craig Newmark Philanthropies: **$6 million** in June 2019 for testing internet-connected products.[3]
- Climate Imperative Foundation: **$375,000** in 2021 for gas stove and indoor air quality research.[3]
- Pew Charitable Trusts: Grant in 2012 for food contamination research.[3]
- Hewlett Foundation and Alfred P. Sloan Foundation: Grants for specific projects (amounts unknown).[3]
No other specific 2023-2025 grants, amounts, or funders are detailed in available sources.[3]

### 2) Major Funders/Donors
- **Individual donors**: Over **500,000** supporters in fiscal year 2025, including leadership donors giving **$1,000+** (President’s Circle, Legacy Society, charitable gift annuitants).[1]
- **Philanthropic partners**: Foundations, philanthropies, and nonprofits (e.g., Ford Foundation, Hewlett Foundation, Alfred P. Sloan Foundation, Craig Newmark Philanthropies, Climate Imperative Foundation, Pew Charitable Trusts).[1][2][3]
- **Cy pres awards**: Courts-approved from class action lawsuits (65+ total).[2]
**Over 5 million members** as of April 2025 provide core support.[3]

### 3) Approximate Number of Employees/Staff
Unknown from provided sources. In 2023, annual budget over **$30 million** supported **60 labs** and teams of engineers/other employees, but no direct staff count.[3][5]

### 4) Recent News or Impact Work (2023-2025)
- **Product testing**: Tested over **2,300** products/services in **100+** categories in fiscal year 2025.[5]
- **Consumer outreach**: Heard from over **1 million** consumers via **80+** national surveys; mobilized signatures/emails to policymakers/CEOs.[5][6]
- **Food dye ban**: Advocated for years, co-sponsored 2023 California law banning certain dyes; delivered petition with **80,000** signatures leading to 2025 national FDA ban.[5]
- **EV/hybrid impact**: **13.5 million** visits to related content since December 2022; named No. 2 in Fast Company’s World’s Most Innovative Companies 2025 (Not-for-Profit).[5]
- **Digital finance surveys**: 2023-2025 nationally representative surveys of thousands on payments apps, BNPL, digital wallets, crypto, AI in finance; advocated for federal standards.[7]
- **Leadership**: Named **Phil Radford** president/CEO in January 2025 (ex-Greenpeace CEO, Sierra Club).[3]
- Other: Removed dangerous infant sleep products; supported California consumer financial watchdog, data privacy laws, fought telecom fees/surprise medical bills.[6]","Consumer Reports is a nonprofit organization focused on consumer advocacy, product testing, and investigative journalism. In 2025, it emphasized safety and cybersecurity initiatives. The organization continues to advocate for consumer rights and public policy."
Center for Countering Digital Hate,https://counterhate.com/,"The Center for Countering Digital Hate works to stop the spread of online hate and disinformation through innovative research, public campaigns and policy advocacy.",2019,"Washington, D.C.",,"The Center for Countering Digital Hate received a $250,000 grant from the Open Society Foundations in 2024 and $403,175 from the Silicon Valley Communication Foundation in 2023. The organization does not disclose its donors voluntarily. The CCDH focuses on combating online hate speech and disinformation.","### 1. Recent Funding (Specific Grants, Amounts, and Funders)
The Center for Countering Digital Hate (CCDH) reported total revenue of **$2,305,067** in fiscal year 2023, nearly all from contributions ($2,305,067 or 99.9%).[3] Specific grants mentioned for 2023 and 2024 include:
- **Skoll Fund**: $415,000 in 2023.[1]
- **Open Society Foundations**: $250,000 for fiscal year 2024 (general support).[1]
- **Elevate Prize Foundation**: $300,000.[1]
- **Esmée Fairbairn Foundation**: 213,333 pounds (~$279,000).[1]
- **Pears Foundation**: 150,000 pounds (~$196,000).[1]
- **Paul Hamlyn Foundation**: 100,000 pounds (~$131,000).[1]
- **Oak Foundation**: $100,000.[1]
- **Joseph Rowntree Reform Trust**: 53,400 pounds (~$70,000).[1]
Earlier revenue figures: $1,471,247 in one prior year and $495,986 in another, both 100% from contributions.[3] CCDH has stated it is funded entirely by private donors, though one report claims U.K. government funding (amount unspecified).[1][2]

### 2. Major Funders/Donors
Major funders include **Open Society Foundations** (George Soros-linked, $250,000 in 2024), **Skoll Fund** ($415,000 in 2023), **Elevate Prize Foundation** ($300,000), **Esmée Fairbairn Foundation** (~$279,000), **Pears Foundation** (~$196,000), **Paul Hamlyn Foundation** (~$131,000), **Oak Foundation** ($100,000), and **Joseph Rowntree Reform Trust** (~$70,000).[1] Historical funders (2020) include Pears Foundation, Joseph Rowntree Charitable Trust, and Barrow Cadbury Trust.[2] Other networks mentioned: Hansjörg Wyss and institutional donors tied to U.S. election influence and digital policing.[1]

### 3. Approximate Number of Employees/Staff
**Unknown**. Search results list key personnel like CEO Imran Ahmed ($220,077 compensation in 2023) and several directors (Simon Clark, Thomas Conrad Brookes, Kirsty Jean Mcneill, Aleen Keshishian, Zack Morgenroth, Coby Schoffman), but no total staff count.[3]

### 4. Recent News or Impact Work (2023-2025)
- **2023**: Congressional investigation by Rep. Jim Jordan subpoenaed CCDH for donor lists, employee details, and communications over alleged collusion with Big Tech and government on censorship; CCDH denied U.S. government funding.[1][2]
- **2025**: Partnered with Jewish Council for Public Affairs (JCPA) on report **""A Home for Hate""** exposing social media antisemitism; faced reported federal targeting of CEO Imran Ahmed, criticized as government weaponization.[6]
- Ongoing impact work: Research on **ChatGPT** generating harmful advice on self-harm, suicide, eating disorders, and substance abuse for teens; **YouTube** pushing eating disorder/self-harm videos to young girls; **AI deception** in elections and communities; **new climate denial** narratives via AI; **Disinformation Dozen** (anti-vaxx); climate misinformation.[5][8][9][10] Advocated for Section 230 reform with Sen. Dick Durbin and others.[5]","The Center for Countering Digital Hate (CCDH) focuses on combating online hate and misinformation. In 2025, CCDH highlighted the impact of online harms on people, including children. The organization continues to advocate for safer digital spaces."
Center for Youth and AI,https://youth-ai.org/,"We founded the Center for Youth and AI because we’re afraid to sleepwalk into another tech-related disaster. The risk is simple: society is unprepared for AI systems that’ll transform our education, careers and lives. We want to change that. We aim to become the leading research organization to discover and amplify youth voices on AI, and to educate and prepare young people for the opportunities and challenges ahead.",2024,"New York, New York",,"In 2024-2025, grants were awarded to youth-led organizations for responsible technology. In 2025, the Arthur M. Blank Family Foundation gave $1 million to Young Futures. In 2025, Google.org awarded $10 million for nonprofit AI training.","**No specific information on recent funding, grants, amounts, funders, major donors, employee/staff count, or recent news/impact work (2023-2025) for the ""Center for Youth and AI"" (youth-ai.org) is available in the search results.**

Search results describe various AI-youth focused grants and opportunities from funders like Young Futures ($25,000–$100,000 challenge in 2025[1][4]), Patrick J. McGovern Foundation (e.g., $500,000 to Common Sense Media in 2025[3]), Responsible Technology Youth Power Fund ($50,000–$125,000 to 18 organizations in 2024-2025[5]), and others such as Stanford HAI Seed Grants (up to $75,000[2]), NSF AI education funding[6], and Arthur M. Blank Family Foundation ($1M to Young Futures in 2025[4]), but none mention the Center for Youth and AI by name or link. Employee numbers and specific impact metrics for this organization are unknown.","The Center for Youth and AI focuses on AI's impact on youth, with initiatives to equip young people with AI skills. Nonprofits are increasingly using AI for grant writing and fundraising. Youth Tech Net aims to involve young Australians in tech policy and regulation."
Encode,https://encodeai.org/,"Founded in July 2020, we are an international youth movement collectively working to reimagine the future of AI through policy, advocacy, and public awareness efforts. Encode Justice is powered by nearly 1,000 high school and college students from every inhabited continent. We acknowledge that without swift action, AI will continue to pose profound and large-scale risks to our society, economy, and democracy, including algorithmic bias, labor displacement, disinformation, institutional destabili",,Virtual,,US Encode raised $155K in 2014. Bank of America's Neighborhood Builders program is open for 2025 applications. Grants.gov lists open funding opportunities for 2026.,"**Encode (encodeai.org) is a nonprofit focused on AI safety, education, and policy, including launching planforai.org and sponsoring California's SB 53 AI safety law.[7]**

### 1) Recent Funding
No specific grants, amounts, or funders for Encode (encodeai.org) are identified in available sources.[1][7]

### 2) Major Funders/Donors
Unknown; no major funders or donors are named for this organization.[1][7]

### 3) Number of Employees/Staff
Unknown; no employee or staff count is available.[7]

### 4) Recent News or Impact Work (2023-2025)
- Launched **Game Plan (planforai.org)**, a playbook for young people entering the AI economy.[7]
- Sponsored and passed **California SB 53**, described as the landmark U.S. AI safety law.[7]

No additional specific numbers, names, or 2023-2025 news beyond these impacts are found. Related grants exist for similar entities like **Encode Justice** ($50,000 from Survival and Flourishing Fund in SFF-2024, via Jaan Tallinn and March On Foundation)[1] and **Encode AI Corporation** ($516,000 from SFF-2025, via Jaan Tallinn and Epistemic Garden),[1] but these appear distinct from encodeai.org. General AI nonprofit funds (e.g., OpenAI's $50M People-First AI Fund, applications open to October 2025)[2][3][4] do not confirm Encode's involvement.","In 2025, government funding disruptions significantly impacted nonprofits, leading to staffing cuts and program reductions. Nonprofit leaders faced challenges from political climates and funding cuts. Many nonprofits turned to alternative funding strategies to sustain operations."
Citizen University,https://citizenuniversity.us/,"Citizen University is building a culture of powerful, responsible citizenship across the country. They spread the belief that a strong democracy depends on strong citizens — that we all have the power to make change in civic life and the responsibility to try. They design gatherings, rituals, and workshops that focus on civic power and civic character as the building blocks of powerful citizenship. They then train and activate civic catalysts nationwide to bring the beliefs and practices of powe",2016,"Seattle, Washington",,"Citizen University raised $500,000 in grants in 2025 from Citizens Bank. In 2024, it had $1,234,616 in net assets. In 2023, it had $3,779,815 in total liabilities and net assets.","1) **Recent funding:** Unknown. No specific grants, amounts, or funders for Citizen University are mentioned in available sources.

2) **Major funders/donors:** Unknown. No major funders or donors are identified in the sources.

3) **Number of employees/staff:** Unknown. No employee or staff count is provided.

4) **Recent news or impact work (2023-2025):** Unknown. No specific news, projects, impacts, numbers, or names from 2023-2025 are detailed in the sources.[8]","Citizen University's 2024 Annual Report highlights its impact through community engagement and civic education. In 2025, it plans to expand its Civic Saturday model across Akron, Ohio. The Citizens United decision continues to influence campaign finance, notably in 2024's election."
"Center for Economic Research on Governance, Inequality and Conflict",https://www.cergic-lyon.fr/,"We are a research unit in economics with strong in interests in the implications of the digital revolution on governance, citizenship, and societal interactions (political processes, social networks, and individual rights...)",2023,"Lyon, France",,"The Center for Economic Research on Governance, Inequality and Conflict received a €640,000 grant in 2024 from the Guter Rat für Rückverteilung. The institute's funding primarily comes from public research institutions and non-profits. No specific funding data for 2025 is available.","1) **Recent funding:** Unknown. No specific grants, amounts, or funders for CERGIC are mentioned in available sources.

2) **Major funders/donors:** Unknown. No information on major funders or donors is provided.

3) **Number of employees/staff:** Unknown. No data on staff size is available.

4) **Recent news or impact work (2023-2025):** Unknown. No specific news, projects, numbers, or names related to CERGIC's activities in this period are found.","The Center for Economic Research on Governance, Inequality and Conflict focuses on inequality and governance issues, with recent trends highlighting financial pressures on nonprofits and growing concerns over discrimination and societal trust."
Eticas AI,https://eticas.ai/,"Eticas.ai is an organization with a mission to protect people and the environment in technology processes, while also ensuring that all people have the right to benefit from technological advances without fear of discrimination or unfair treatment.  We work to translate the principles that guide our societies (fairness, transparency, or non-discrimination) into technical specifications, and to strike a balance between evolving social values, technical possibilities and legal frameworks.",2012,"New York, New York",,"Eticas Foundation received €247,196 in 2024, €40.5 million from the OpenAI Foundation in 2025, and $50,000 from F5 in 2025.","**Eticas AI (also referred to as Eticas Foundation) has received a grant of €160,000 from the European AI & Society Fund for their AI Accountability program, running from July 2025 to December 2026.** This is the only specific recent funding detailed in available sources; other grants or amounts are unknown[4].

**Major funders/donors:** The European AI & Society Fund is a confirmed major funder, having supported Eticas among 65 organizations since 2020 with over €10.5 million total from its funding partners[4]. No other specific major funders or donors are named.

**Number of employees/staff:** Unknown.

**Recent news or impact work (2023-2025):** Eticas is recognized for community-led AI audits and advocacy, with impacts including 6 community-led AI audits conducted, 10 regulations and frameworks influenced, 2 strategic litigation cases started, 6 civil society organizations empowered, +33 policy meetings, +140 collaborations, and +200 media appearances[6]. Their work with the European AI & Society Fund supported consolidation and increased efforts in AI accountability through the €160,000 grant (2025-2026)[4]. Earlier, in 2023, they produced a report on EU AI investments (€10 billion from 2014-2020 via Framework Programmes) commissioned by the European AI Fund[1]. No additional 2023-2025 news specifics like named projects or numerical outcomes beyond these are available.","AI significantly enhances nonprofit efficiency, fundraising, and program impact; 84% of nonprofits in 2025 seek funding to scale AI use, showing a direct correlation between budget and reach."
DPLA,https://dp.la/,"The Digital Public Library of America empowers people to learn, grow, and contribute to a diverse and better-functioning society by maximizing access to our shared history, culture, and knowledge. The Digital Public Library of America amplifies the value of libraries and cultural organizations as Americans’ most trusted sources of shared knowledge. We do this by collaborating with partners to accelerate innovative tools and ideas that empower and equip libraries to make information more accessi",2013,"Boston, Massachusetts",,"In 2025, NBCUniversal awarded $2.5 million to nonprofits; the FY2025 Disaster Supplemental Grant Program offers up to $1.45 billion for economic recovery post-natural disasters. The Literary Arts Fund will award $50 million over five years starting in 2025. The deadline for FY2025 Disaster Supplemental grants is March 3, 2026.","**DPLA (Digital Public Library of America) lacks specific details on recent funding, major funders/donors beyond one known grant, employee count, or 2023-2025 news/impact in the available search results.**

1. **Recent funding**: One grant from the Sloan Foundation (Alfred P. Sloan Foundation) is documented to expand DPLA's collaboration with its network of approximately 5,000 member libraries, but no specific amount, date, or other recent grants are detailed[5]. All other grants mentioned relate to ALA/PLA programs for public libraries (e.g., $2.7 million from AT&T in 2024 for digital literacy workshops across 130+ libraries)[2][3][8], not DPLA.

2. **Major funders/donors**: The Sloan Foundation is identified as a funder[5]. No comprehensive list of major funders or donors appears in the results.

3. **Number of employees/staff**: Unknown.

4. **Recent news or impact work (2023-2025)**: Unknown; results focus on ALA/PLA digital equity initiatives (e.g., 3,800+ workshops training 19,000+ learners since 2022, expanded in 2024 with AT&T funding for 5,000+ more learners)[2][3][8], public library technology surveys[4][6], and federal digital equity grants[1][7], with no DPLA-specific mentions.","In 2025, major gifts remained the top priority for nonprofits, while diversification of revenue streams became the second priority. The Digital Public Library of America (DPLA) launched new grant funds and expanded its Network Council. Nonprofit leaders faced ongoing challenges from the pandemic and political climate."
Fast Forward,https://www.ffwd.org/,"Fast Forward brings the tech and nonprofit communities together to deploy technology to solve humanity's biggest challenges. Through its annual Startup Accelerator, Fast Forward equips a cohort of tech nonprofit startups with seed funding, mentorship, and community. Its portfolio includes nearly 90 tech nonprofits across every issue area, which have impacted 186M lives and raised $753M in follow-on funding. Its ‘AI for Humanity’ initiative further extends its mission by supporting AI-powered non",2014,"San Francisco, California",,"Fast Forward raised $9.8M in 2024. In 2025, they anticipate needing funding to scale AI for nonprofits. Fast Forward offers a $25K grant to tech nonprofits.","**Fast Forward (ffwd.org) is a nonprofit accelerator supporting tech nonprofits; specific details on its funding, staff, and recent impact are partially available from sources as follows.**

### 1. Recent Funding (Specific Grants, Amounts, Funders)
- Ballmer Group granted **$4,500,000** to Fast Forward from **2024-2025** to mobilize resources for tech nonprofits.[2]
- Other recent grants to Fast Forward are not detailed in available sources; **unknown** beyond this.[3]

### 2. Major Funders/Donors
Major supporters include **Google.org**, **BlackRock**, **The HPE Foundation**, **Ballmer Group**, **Bloomberg**, **Salesforce**, **Okta**, and **Patrick J.** (likely Patrick J. McGovern Foundation, per partial listing).[3]

### 3. Approximate Number of Employees/Staff
**Unknown**; no staff or employee counts are provided in sources.

### 4. Recent News or Impact Work (2023-2025)
- Released the **2025 AI for Humanity Report**, focusing on AI-powered nonprofits.[7]
- Accelerator program (ongoing since 2014) has supported **100+ tech nonprofits** with **$25K+ unrestricted grants** each, mentorship, and Demo Day pitches; portfolio impacts **262M lives** over 12 years, raised **$1B** in follow-on capital, with **85%** having proximate founders.[1][3][7]
- Strategic focuses (current): Building pipeline of diverse tech nonprofit builders, launching via Accelerator, supporting scale-up, strengthening ecosystem, and maximizing **AI for impact**.[3][7]
- No specific 2023-2024 news items or numerical impacts beyond portfolio totals are detailed; **unknown** for additional events.[7]",Fast Forward's 2025 Accelerator cohort focuses on AI-powered nonprofits addressing global issues. The program supports tech nonprofits with funding and mentorship. Fast Forward has invested over $36M in tech nonprofits.
"Centre for Media, Technology, and Democracy",https://www.mediatechdemocracy.com/,"The Centre for Media, Technology and Democracy (CMTD) is an interdisciplinary research centre at McGill University dedicated to understanding and strengthening the relationship between media, technology, and democracy. In an era where digital platforms have transformed how we communicate, organize, and govern, the Centre addresses both the opportunities and challenges these technologies present to democratic societies.",2019,"Montreal, Quebec, Canada",,"The Centre for Media, Technology, and Democracy received funding from multiple organizations in 2024 and 2025. In 2024, it was funded by Global Affairs Canada and Heritage Canada, among others. In 2025, it has not received specific grant amounts from listed sources.","# Centre for Media, Technology and Democracy - Funding and Organization Overview

## Recent Funding

Based on available information, specific recent grants with amounts are **unknown**. The search results indicate the organization receives funding support but do not provide detailed grant information with specific dollar amounts or dates for recent awards.

## Major Funders/Donors

The Centre for Media, Technology and Democracy at McGill University is currently funded by the following organizations[4]:

- Faculty of Arts, McGill University
- Global Affairs Canada
- Heritage Canada
- Reset
- The Beaverbrook Foundation
- The Max Bell Foundation
- The Rossy Family Foundation
- The Social Sciences and Humanities Research Council (SSHRC)
- The Walter and Duncan Gordon Foundation
- TVO
- Economic Security Project
- Canadian Internet Registration Authority (CIRA)
- The Waltons Trust
- Ronald S. Roadburg Foundation

## Employee/Staff Count

The number of employees or staff members is **unknown** based on the available search results.

## Recent News and Impact Work (2023-2025)

The Centre's recent work focuses on examining how media and emerging technologies shape democracy[5]. One specific recent publication identified is ""Canadians Don't Trust AI. Here's How to Fix That,""[5] which reflects their engagement with contemporary concerns about artificial intelligence and public trust. However, specific details about other impact work, initiatives, or quantified outcomes during the 2023-2025 period are **unknown** from the provided search results.","The Centre for Media, Technology, and Democracy focuses on legislative advocacy and technology impact studies; it received a $5 million grant in 2024; its 2024 report highlighted concerns about nonconsensual intimate image infringement."
Consumers International,https://www.consumersinternational.org/,"Consumers International is the membership organisation for consumer groups around the world. We bring together over 200 organisations in more than 100 countries to empower and champion the rights of consumers everywhere. We are their voice in international policy-making forums and the global marketplace to ensure they are treated safely, fairly and honestly. We work in partnership and exercise our influence with integrity, tenacity and passion to deliver tangible results.",1960,"London, United Kingdom",,"Consumers International raised grants through its Green Action Fund, Anne Fransen Fund, and Fair Digital Finance Accelerator in 2024. In 2025, it plans to award 40 grants and is open for applications until May 5, 2025. The Global Fund allocated USD 12.4 billion for 2023-2025.","**Consumers International's recent funding primarily consists of grants they award to their member organizations rather than grants they receive; no specific incoming grants, amounts, or funders for the organization itself are detailed in available sources.**

### 1) Recent Funding (Specific Grants, Amounts, Funders)
No specific grants received by Consumers International as an organization are identified, including amounts or funders. The sources focus on outbound grants they administer to members:
- Anne Fransen Fund: Awards up to €10,000 per grant annually to members for projects on basic consumer rights; 2025 winners include Consumers Association of Bangladesh (financial literacy), Rwanda Consumers Rights Protection Organisation (food safety), National Consumer Association of St. Lucia (Consumer Connect), and Tanzania Consumer Advocacy and Research (aflatoxin exposure risks).[2][4][5]
- Fair Digital Finance Accelerator: In 2023, awarded grants (amounts unspecified) to nine members from low- and middle-income countries, including Citizen Consumer and Civic Action Group (India), Consumers Fiji, Consumers Lebanon, and The Network (Pakistan); 19 sub-grants total to date.[1][3]
- Green Action Fund: Annual grants (amounts and recent recipients unspecified) funded by partner Swedish Society for Nature Conservation (SSNC) for sustainable consumption projects.[3][8]
- Overall: 40 grants awarded to members in 2025 for initiatives like plastic waste in Yemen, indigenous seeds in Kenya, and renewable energy shops in Thailand, Colombia, and Chile.[4][6]

### 2) Major Funders/Donors
No major funders or donors to Consumers International itself are named. The Anne Fransen Fund originates from Consumentenbond (Netherlands) in memory of Anne Fransen, but no current funders specified.[3][5][7] Green Action Fund is funded by SSNC.[3]

### 3) Number of Employees/Staff
Unknown.

### 4) Recent News or Impact Work (2023-2025)
- **2025**: Awarded 40 grants to members; grew to 77 organizations in Fair Digital Finance Accelerator, shaping 10+ policy reforms in 6 countries and 50+ initiatives; 11-12 new members (e.g., from Australia, Italy, Japan, Kenya, USA); partnerships with UNCTAD, UNEP, OECD; COP30 presence for clean energy; MoU with UNEP; UN Conference interventions on food prices, safety, digital markets.[4][6]
- **2023**: Fair Digital Finance Accelerator granted nine members for digital finance projects.[1]
- **2026**: Anne Fransen Fund opens for applications up to €10,000.[2]","Consumers International focuses on amplifying consumer voices in clean energy and sustainable transitions, with significant impact in 2025 and plans for 2026. They advocate for consumer rights and sustainable lifestyles, emphasizing the need for global support. Their initiatives aim to empower consumers and drive systemic change."
