Name,composite_score,ai_ml_relevance,tech_gap,mission_impact,size_sweet_spot,org_viability,growth_signal,estimated_headcount,top_reason,Website,About,Year Founded,Location,funding_search,recent_news
Fast Forward,91.2,5,4,5,3,5,5,unknown,"Fast Forward is an excellent fit due to its established accelerator model, heavy AI focus, massive portfolio impact, and recent multimillion-dollar funding, though its unknown size makes fractional IC impact uncertain.",https://www.ffwd.org/,"Fast Forward brings the tech and nonprofit communities together to deploy technology to solve humanity's biggest challenges. Through its annual Startup Accelerator, Fast Forward equips a cohort of tech nonprofit startups with seed funding, mentorship, and community. Its portfolio includes nearly 90 tech nonprofits across every issue area, which have impacted 186M lives and raised $753M in follow-on funding. Its ‘AI for Humanity’ initiative further extends its mission by supporting AI-powered non",2014,"San Francisco, California","Fast Forward raised $9.8M in 2024. In 2025, they anticipate needing funding to scale AI for nonprofits. Fast Forward offers a $25K grant to tech nonprofits.",Fast Forward's 2025 Accelerator cohort focuses on AI-powered nonprofits addressing global issues. The program supports tech nonprofits with funding and mentorship. Fast Forward has invested over $36M in tech nonprofits.
Bellingcat,91.2,5,4,5,4,5,4,30-50,"Bellingcat's open-source investigations heavily leverage data analysis and would greatly benefit from AI/ML tools, but unknown staff size and lack of recent impact details slightly temper the fit.",http://bellingcat.com/,"Bellingcat is an independent international collective of researchers, investigators and citizen journalists using open source and social media investigation to probe a variety of subjects – from Mexican drug lords and crimes against humanity, to tracking the use of chemical weapons and conflicts worldwide. With staff and contributors in more than 20 countries around the world, we operate in a unique field where advanced technology, forensic research, journalism, investigations, transparency and",2014,"Amsterdam, Netherlands","Bellingcat raised $6.77 million in revenue in 2024, with $1.56 million in expenses. It received significant grants from the EU and Swedish Postcode Lottery. Bellingcat does not accept government funding.","Bellingcat's 2024 report highlights challenges and shifts in social media engagement. In 2025, they focus on stability, partnerships, and security. Bellingcat expanded to the U.S. in 2025."
Foundation for American Innovation,90.0,5,4,4,4,5,5,30-60,"Strong funding, AI policy focus, and rapid growth make it a solid fit for building AI/ML tools to amplify policy research and influence, though impact is more policy-oriented than direct services.",https://thefai.org/,"The mission of the Foundation for American Innovation is to develop technology, talent, and ideas that support a better, freer, and more abundant future. Ours is a politics of builders, hackers, and founders working to advance a more perfect union between technology and the American republic.",2014,"San Francisco, California","The Foundation for American Innovation did not disclose specific funding amounts for 2023, 2024, or 2025. The most recent available data is for 2024, showing $8 billion in total charitable support.","The Foundation for American Innovation (FAI) focuses on national security, governance, and technological innovation. In 2025, FAI published over 300 pieces of research and held numerous events. FAI continues to shape policy and promote American leadership in technology."
Thorn,90.0,5,3,5,4,5,5,50-100,"Thorn is an excellent fit due to its tech-focused mission combating child sexual abuse with AI/ML-applicable tools, strong funding, and massive measurable impact, though it may already have some internal engineering.",http://thorn.org/,"Thorn, an innovative technology nonprofit, creates products and programs to combat child sexual abuse at scale, empowering the platforms and people who have the ability to defend children.",2012,"Manhattan Beach, California","Thorn raised $16.4 million in 2024, $15.8 million in 2023, and aims to continue its mission with ongoing fundraising efforts. Thorn focuses on technological tools to combat online child sexual abuse. The organization's fiscal data shows significant revenue from contributions and program services.",
TechSoup,88.8,5,4,5,3,5,4,unknown,"TechSoup is a highly viable org with massive tech distribution impact and AI initiatives that align perfectly with building data pipelines, but unknown size makes fractional IC impact uncertain.",http://techsoup.org/,"TechSoup supports nonprofits, charities, and libraries by providing access to donations and discounts on software, hardware, and services from major brands.",1987,"San Francisco, California",TechSoup provided $2.6 billion in technology and grants in 2025. It offers various grants and resources for nonprofits in 2025 and beyond. TechSoup's mission is to support civil society organizations globally.,"TechSoup launched a Virtual CTO Program in 2025 to help small nonprofits adopt technology. The program aims to reduce barriers to digital transformation. TechSoup supported over 305,000 nonprofits globally in 2025."
CyberPeace Institute,87.5,5,4,4,3,5,5,40-80,"Strong funding from reputable sources like Hewlett and Microsoft, high AI/ML relevance in cybersecurity threat intelligence, and measurable impact via 700+ volunteers aiding 240+ nonprofits make it viable, but unknown size obscures individual IC impact potential.",https://cyberpeaceinstitute.org/,"Cyberattacks directly affect people. From hospitals to humanitarian NGOs, threat actors target the organizations playing an essential role in supporting those most in need. We are an NGO, supporting NGOs and other critical sectors, offering free cybersecurity assistance, threat detection and analysis whilst advocating for safety and security in cyberspace. Our commitment to assist and protect vulnerable communities determines the focus of the activities of the Institute.",2019,"Genève, Switzerland","CyberPeace Institute raised CHF 4.698 million in 2024. They have not disclosed 2023, 2024, or 2025 funding figures. They aim to raise CHF 4.698 million in 2025.",The CyberPeace Institute launched an upgraded matchmaking system and the CyberPeace Tracer platform in 2025 to enhance nonprofit cybersecurity. The CyberPeace Builders program expanded and added new corporate partners. The Institute recorded several cyberattacks targeting nonprofits in 2024-2025.
American Journalism Project,86.2,4,4,5,3,5,5,20-50,Strongly viable grantmaker with impressive impact scaling local news but likely lacks urgent need for advanced AI/ML data pipelines as a small philanthropy focused on funding rather than direct operations.,https://www.theajp.org/,"The American Journalism Project is a venture philanthropy dedicated to local news. They believe local journalism is a public good and are reimagining its future by building a model to finance and sustain the local news our democracy requires. They make grants to local nonprofit news organizations to build their revenue and business operations, partner with communities to launch new organizations, and mentor leaders as they grow and sustain their newsrooms.",2019,"Washington, D.C.","The American Journalism Project raised $243 million by 2025, with Knight Foundation and MacArthur Foundation as major donors. In 2024, it committed $8.2 million for grants in 2025. The organization focuses on supporting local news organizations.","The American Journalism Project raised over $250 million since 2019, invested in 53 local news organizations, and generated $128 million in revenue in 2024. The project aims to ensure access to trusted local journalism."
Reporters Without Borders,86.2,4,4,5,5,5,3,57,"RSF is a stable, impactful organization with measurable on-the-ground journalist support but limited evident tech sophistication or rapid growth signals for AI/ML tooling needs.",https://rsf.org/en,"Reporters Without Borders (RSF) is an international non-profit and non-governmental organization with the stated aim of safeguarding the right to freedom of information. RSF works on the ground in defense of individual journalists at risk and also at the highest levels of government and international forums to defend the right to freedom of expression and information. It provides daily briefings and press releases on threats to media freedom in French, English, Spanish, Portuguese, Arabic, Farsi",1985,"Washington, D.C.","In 2024, Reporters Without Borders provided financial support to over 700 journalists and media outlets. In 2025, they allocated 70% of their emergency funds to resettling exiled journalists. RSF's funding in 2024 was primarily from public subsidies and sales of publications.","In 2025, Reporters Without Borders focused on campaigns against threats to press freedom, including AI, conflict zones, and authoritarian regimes. RSF also aided nearly 750 journalists in 76 countries. The organization emphasized new solutions for mobilization and advocacy."
Future of Life Institute,85.0,5,4,4,3,5,4,unknown,"FLI is highly relevant for AI/ML expertise in safety and risk reduction with strong funding from major donors like Musk and Buterin, but its policy advocacy focus and unknown size make internal tools impact uncertain.",https://futureoflife.org/,Steering transformative technology towards benefiting life and away from extreme large-scale risks. We believe that the way powerful technology is developed and used will be the most important factor in determining the prospects for the future of life. This is why we have made it our mission to ensure that technology continues to improve those prospects.,2014,"Cambridge, Massachusetts","The Future of Life Institute raised $4,874,714 in contributions in 2023, with no program service revenue. In 2024, they made grants through Requests for Proposals and participated in funding rounds. The 2025 annual report is not yet available.","The Future of Life Institute focuses on preventing existential risks from advanced AI and advocates for responsible AI development. In 2025, it called for a ban on superintelligence until safety controls are in place. The institute continues to push for global AI safety agreements."
Siegel Family Endowment,85.0,4,4,4,4,5,5,10-20,"Established family endowment with substantial ongoing funding and AI-relevant grants, but as a grantmaker rather than operator, it may not need internal data pipelines for direct service delivery.",https://www.siegelendowment.org/,"Siegel Family Endowment is a foundation that envisions a world in which all people have the tools, skills, and context necessary to engage meaningfully in a rapidly changing society. We operationalize that across three grantmaking interest areas: Learning, Workforce and Infrastructure. Founded in 2011 by David M. Siegel, co-founder and co-chairman of the financial sciences company Two Sigma, we believe that philanthropy is society’s risk capital – it can help drive innovation by investing in loc",2011,"New York, New York","The Siegel Family Endowment awarded nearly $17 million in grants in 2025. The funds supported education, workforce development, and community innovation. The endowment plans to continue similar funding in 2026.",The Siegel Family Endowment awarded over $16.3 million in 2024 and $15.4 million in 2025 to support workforce innovation and technology. The foundation focuses on inclusive tech advancement and effective philanthropy.
The Christchurch Call Foundation,83.8,5,4,3,5,4,4,20-40,"Strong AI/ML relevance through new Elevate project and ROOST partnership, but very young org with uncertain long-term funding stability and limited evidence of direct measurable impact beyond coordination.",https://www.christchurchcall.org/,"We are a non-governmental organisation which coordinates and supports the Christchurch Call’s mission of eliminating terrorist and violent extremist content online. The Call contains 25 commitments made by governments and online service providers to eliminate terrorist and extremist content online. New Zealand and France launched the Call on 15 May 2019 in response to the horrific terrorist attack in Christchurch that killed 51 people, produced for and livestreamed on the internet.",2019,"Wellington, New Zealand",The Christchurch Call Foundation received funding pledges in 2023. It transitioned into a nonprofit in 2023. The foundation continues to secure support for its initiatives.,"The Christchurch Call Foundation was launched in 2024 to coordinate efforts against online terrorist and violent extremist content. It has attracted investments and partnerships, including with ROOST for AI tools. The foundation continues to evolve with support from key figures like Dame Jacinda Ardern."
Hopelab,82.5,5,4,4,4,4,3,unknown,"Hopelab is a strong fit for AI/ML expertise due to its tech-youth mental health focus and investments in AI startups, but lacks clear evidence of incoming funding or headcount to confirm scale and urgency.",http://hopelab.org/,"Hopelab is a social innovation lab and impact investor at the intersection of tech and youth mental health. As the team builds on our 20-year commitment to co-creating with young people, we work collaboratively with partners to help remove systemic barriers to youth mental health and emotional well-being. Through targeted social impact investments, hands-on design and research support for digital innovation, and translational science partnerships, Hopelab is helping to shape a future where young",2001,"San Francisco, California","Hopelab raised $10,000 for early-career researchers in 2025. The Better Health Foundation awarded over $1 million in grants in 2025. Oak Foundation provided significant grants in 2024.",Hopelab's 2025 research highlights unique mental health barriers for Southern youth and supports early-career researchers. The organization focuses on amplifying voices of marginalized youth and promotes bias-free mental health solutions. Hopelab announced Jaspal Sandhu as its new CEO in 2026.
Center for Countering Digital Hate,81.2,5,4,3,4,4,4,20-40,"Strong AI/ML relevance in monitoring disinformation and hate speech, but impact leans toward advocacy and reports rather than measurable on-the-ground change, with some political controversy.",https://counterhate.com/,"The Center for Countering Digital Hate works to stop the spread of online hate and disinformation through innovative research, public campaigns and policy advocacy.",2019,"Washington, D.C.","The Center for Countering Digital Hate received a $250,000 grant from the Open Society Foundations in 2024 and $403,175 from the Silicon Valley Communication Foundation in 2023. The organization does not disclose its donors voluntarily. The CCDH focuses on combating online hate speech and disinformation.","The Center for Countering Digital Hate (CCDH) focuses on combating online hate and misinformation. In 2025, CCDH highlighted the impact of online harms on people, including children. The organization continues to advocate for safer digital spaces."
Eticas AI,81.2,5,3,4,4,4,4,unknown,"Eticas AI is a strong fit for AI/ML expertise due to its direct focus on AI accountability and ethics, with solid funding signals and measurable advocacy impacts, though headcount and internal tech needs remain uncertain.",https://eticas.ai/,"Eticas.ai is an organization with a mission to protect people and the environment in technology processes, while also ensuring that all people have the right to benefit from technological advances without fear of discrimination or unfair treatment.  We work to translate the principles that guide our societies (fairness, transparency, or non-discrimination) into technical specifications, and to strike a balance between evolving social values, technical possibilities and legal frameworks.",2012,"New York, New York","Eticas Foundation received €247,196 in 2024, €40.5 million from the OpenAI Foundation in 2025, and $50,000 from F5 in 2025.","AI significantly enhances nonprofit efficiency, fundraising, and program impact; 84% of nonprofits in 2025 seek funding to scale AI use, showing a direct correlation between budget and reach."
